Started at: 10:31:08

📌 Processing: /DATA/rohan_kirti/country/pakistan/SBQ/Pakistan_SBQ.xlsx
✅ Saved → SBQ | Malakhra | Row 0
✅ Saved → SBQ | Malakhra | Row 116
✅ Saved → SBQ | Malakhra | Row 117
✅ Saved → SBQ | Malakhra | Row 118
✅ Saved → SBQ | Malakhra | Row 119
✅ Saved → SBQ | Malakhra | Row 120
✅ Saved → SBQ | Malakhra | Row 121
✅ Saved → SBQ | Malakhra | Row 122
✅ Saved → SBQ | Malakhra | Row 123
✅ Saved → SBQ | Malakhra | Row 124
✅ Saved → SBQ | Malakhra | Row 125
✅ Saved → SBQ | Malakhra | Row 126
✅ Saved → SBQ | Malakhra | Row 127
✅ Saved → SBQ | Malakhra | Row 128
✅ Saved → SBQ | Malakhra | Row 129
✅ Saved → SBQ | Malakhra | Row 130
✅ Saved → SBQ | Malakhra | Row 131
✅ Saved → SBQ | Malakhra | Row 132
✅ Saved → SBQ | Malakhra | Row 133
✅ Saved → SBQ | Malakhra | Row 134
✅ Saved → SBQ | Malakhra | Row 135
✅ Saved → SBQ | Malakhra | Row 136
✅ Saved → SBQ | Malakhra | Row 137
✅ Saved → SBQ | Malakhra | Row 138
✅ Saved → SBQ | Malakhra | Row 139
✅ Saved → SBQ | Malakhra | Row 140
✅ Saved → SBQ | Malakhra | Row 141
✅ Saved → SBQ | Malakhra | Row 142
✅ Saved → SBQ | Malakhra | Row 143
✅ Saved → SBQ | Malakhra | Row 144
✅ Saved → SBQ | Malakhra | Row 145
✅ Saved → SBQ | Malakhra | Row 146
✅ Saved → SBQ | Malakhra | Row 147
✅ Saved → SBQ | Malakhra | Row 148
✅ Saved → SBQ | Malakhra | Row 149
✅ Saved → SBQ | Chaturanga | Row 0
✅ Saved → SBQ | Chaturanga | Row 1
✅ Saved → SBQ | Chaturanga | Row 2
✅ Saved → SBQ | Chaturanga | Row 3
✅ Saved → SBQ | Chaturanga | Row 4
✅ Saved → SBQ | Chaturanga | Row 5
✅ Saved → SBQ | Chaturanga | Row 6
✅ Saved → SBQ | Chaturanga | Row 7
✅ Saved → SBQ | Chaturanga | Row 8
✅ Saved → SBQ | Chaturanga | Row 9
✅ Saved → SBQ | Chaturanga | Row 10
✅ Saved → SBQ | Chaturanga | Row 11
✅ Saved → SBQ | Chaturanga | Row 12
✅ Saved → SBQ | Chaturanga | Row 13
✅ Saved → SBQ | Chaturanga | Row 14
✅ Saved → SBQ | Chaturanga | Row 15
✅ Saved → SBQ | Chaturanga | Row 16
✅ Saved → SBQ | Chaturanga | Row 17
✅ Saved → SBQ | Chaturanga | Row 18
✅ Saved → SBQ | Chaturanga | Row 19
✅ Saved → SBQ | Chaturanga | Row 20
✅ Saved → SBQ | Chaturanga | Row 21
✅ Saved → SBQ | Chaturanga | Row 22
✅ Saved → SBQ | Chaturanga | Row 23
✅ Saved → SBQ | Chaturanga | Row 24
✅ Saved → SBQ | Chaturanga | Row 25
✅ Saved → SBQ | Chaturanga | Row 26
✅ Saved → SBQ | Chaturanga | Row 27
✅ Saved → SBQ | Chaturanga | Row 28
✅ Saved → SBQ | Chaturanga | Row 29
✅ Saved → SBQ | Chaturanga | Row 30
✅ Saved → SBQ | Chaturanga | Row 31
✅ Saved → SBQ | Chaturanga | Row 32
✅ Saved → SBQ | Chaturanga | Row 33
✅ Saved → SBQ | Chaturanga | Row 34
✅ Saved → SBQ | Chaturanga | Row 35
✅ Saved → SBQ | Chaturanga | Row 36
✅ Saved → SBQ | Chaturanga | Row 37
✅ Saved → SBQ | Chaturanga | Row 38
✅ Saved → SBQ | Chaturanga | Row 39
✅ Saved → SBQ | Chaturanga | Row 40
✅ Saved → SBQ | Chaturanga | Row 41
✅ Saved → SBQ | Chaturanga | Row 42
✅ Saved → SBQ | Chaturanga | Row 43
✅ Saved → SBQ | Chaturanga | Row 44
✅ Saved → SBQ | Chaturanga | Row 45
✅ Saved → SBQ | Chaturanga | Row 46
✅ Saved → SBQ | Chaturanga | Row 47
✅ Saved → SBQ | Chaturanga | Row 48
✅ Saved → SBQ | Chaturanga | Row 49
✅ Saved → SBQ | Chaturanga | Row 50
✅ Saved → SBQ | Chaturanga | Row 51
✅ Saved → SBQ | Chaturanga | Row 52
✅ Saved → SBQ | Chaturanga | Row 53
✅ Saved → SBQ | Chaturanga | Row 54
✅ Saved → SBQ | Chaturanga | Row 55
✅ Saved → SBQ | Chaturanga | Row 56
✅ Saved → SBQ | Chaturanga | Row 57
✅ Saved → SBQ | Chaturanga | Row 58
✅ Saved → SBQ | Chaturanga | Row 59
✅ Saved → SBQ | Chaturanga | Row 60
✅ Saved → SBQ | Chaturanga | Row 61
✅ Saved → SBQ | Chaturanga | Row 62
✅ Saved → SBQ | Chaturanga | Row 63
✅ Saved → SBQ | Chaturanga | Row 64
✅ Saved → SBQ | Chaturanga | Row 65
✅ Saved → SBQ | Chaturanga | Row 66
✅ Saved → SBQ | Chaturanga | Row 67
✅ Saved → SBQ | Chaturanga | Row 68
✅ Saved → SBQ | Chaturanga | Row 69
✅ Saved → SBQ | Chaturanga | Row 70
✅ Saved → SBQ | Chaturanga | Row 71
✅ Saved → SBQ | Chaturanga | Row 72
✅ Saved → SBQ | Chaturanga | Row 73
✅ Saved → SBQ | Chaturanga | Row 74
✅ Saved → SBQ | Chaturanga | Row 75
✅ Saved → SBQ | Chaturanga | Row 76
✅ Saved → SBQ | Chaturanga | Row 77
✅ Saved → SBQ | Chaturanga | Row 78
✅ Saved → SBQ | Chaturanga | Row 79
✅ Saved → SBQ | Chaturanga | Row 80
✅ Saved → SBQ | Chaturanga | Row 81
✅ Saved → SBQ | Chaturanga | Row 82
✅ Saved → SBQ | Chaturanga | Row 83
✅ Saved → SBQ | Chaturanga | Row 84
✅ Saved → SBQ | Chaturanga | Row 85
✅ Saved → SBQ | Chaturanga | Row 86
✅ Saved → SBQ | Chaturanga | Row 87
✅ Saved → SBQ | Chaturanga | Row 88
✅ Saved → SBQ | Chaturanga | Row 89
✅ Saved → SBQ | Chaturanga | Row 90
✅ Saved → SBQ | Chaturanga | Row 91
✅ Saved → SBQ | Chaturanga | Row 92
✅ Saved → SBQ | Chaturanga | Row 93
✅ Saved → SBQ | Chaturanga | Row 94
✅ Saved → SBQ | Chaturanga | Row 95
✅ Saved → SBQ | Chaturanga | Row 96
✅ Saved → SBQ | Chaturanga | Row 97
✅ Saved → SBQ | Chaturanga | Row 98
✅ Saved → SBQ | Chaturanga | Row 99
✅ Saved → SBQ | Chaturanga | Row 100
✅ Saved → SBQ | Chaturanga | Row 101
✅ Saved → SBQ | Chaturanga | Row 102
✅ Saved → SBQ | Chaturanga | Row 103
✅ Saved → SBQ | Chaturanga | Row 104
✅ Saved → SBQ | Chaturanga | Row 105
✅ Saved → SBQ | Chaturanga | Row 106
✅ Saved → SBQ | Chaturanga | Row 107
✅ Saved → SBQ | Chaturanga | Row 108
✅ Saved → SBQ | Chaturanga | Row 109
✅ Saved → SBQ | Chaturanga | Row 110
✅ Saved → SBQ | Chaturanga | Row 111
✅ Saved → SBQ | Chaturanga | Row 112
✅ Saved → SBQ | Chaturanga | Row 113
✅ Saved → SBQ | Chaturanga | Row 114
✅ Saved → SBQ | Chaturanga | Row 115
✅ Saved → SBQ | Chaturanga | Row 116
✅ Saved → SBQ | Chaturanga | Row 117
✅ Saved → SBQ | Chaturanga | Row 118
✅ Saved → SBQ | Chaturanga | Row 119
✅ Saved → SBQ | Chaturanga | Row 120
✅ Saved → SBQ | Chaturanga | Row 121
✅ Saved → SBQ | Chaturanga | Row 122
✅ Saved → SBQ | Chaturanga | Row 123
✅ Saved → SBQ | Chaturanga | Row 124
✅ Saved → SBQ | Chaturanga | Row 125
✅ Saved → SBQ | Chaturanga | Row 127
✅ Saved → SBQ | Chaturanga | Row 129
✅ Saved → SBQ | Chaturanga | Row 130
✅ Saved → SBQ | Chaturanga | Row 131
✅ Saved → SBQ | Chaturanga | Row 132
✅ Saved → SBQ | Chaturanga | Row 133
✅ Saved → SBQ | Chaturanga | Row 134
✅ Saved → SBQ | Chaturanga | Row 135
✅ Saved → SBQ | Chaturanga | Row 136
✅ Saved → SBQ | Chaturanga | Row 137
✅ Saved → SBQ | Chaturanga | Row 139
✅ Saved → SBQ | Chaturanga | Row 140
✅ Saved → SBQ | Chaturanga | Row 141
✅ Saved → SBQ | Chaturanga | Row 142
✅ Saved → SBQ | Chaturanga | Row 143
✅ Saved → SBQ | Chaturanga | Row 144
✅ Saved → SBQ | Chaturanga | Row 145
✅ Saved → SBQ | Chaturanga | Row 146
✅ Saved → SBQ | Chaturanga | Row 147
✅ Saved → SBQ | Chaturanga | Row 149
✅ Saved → SBQ | Buzkashi | Row 0
✅ Saved → SBQ | Buzkashi | Row 1
✅ Saved → SBQ | Buzkashi | Row 2
✅ Saved → SBQ | Buzkashi | Row 3
✅ Saved → SBQ | Buzkashi | Row 4
✅ Saved → SBQ | Buzkashi | Row 5
✅ Saved → SBQ | Buzkashi | Row 6
✅ Saved → SBQ | Buzkashi | Row 7
✅ Saved → SBQ | Buzkashi | Row 8
✅ Saved → SBQ | Buzkashi | Row 9
✅ Saved → SBQ | Buzkashi | Row 10
✅ Saved → SBQ | Buzkashi | Row 11
✅ Saved → SBQ | Buzkashi | Row 12
✅ Saved → SBQ | Buzkashi | Row 13
✅ Saved → SBQ | Buzkashi | Row 14
✅ Saved → SBQ | Buzkashi | Row 15
✅ Saved → SBQ | Buzkashi | Row 16
✅ Saved → SBQ | Buzkashi | Row 17
✅ Saved → SBQ | Buzkashi | Row 18
✅ Saved → SBQ | Buzkashi | Row 19
✅ Saved → SBQ | Buzkashi | Row 20
✅ Saved → SBQ | Buzkashi | Row 21
✅ Saved → SBQ | Buzkashi | Row 22
✅ Saved → SBQ | Buzkashi | Row 23
✅ Saved → SBQ | Buzkashi | Row 24
✅ Saved → SBQ | Buzkashi | Row 25
✅ Saved → SBQ | Buzkashi | Row 26
✅ Saved → SBQ | Buzkashi | Row 27
✅ Saved → SBQ | Buzkashi | Row 28
✅ Saved → SBQ | Buzkashi | Row 29
✅ Saved → SBQ | Buzkashi | Row 30
✅ Saved → SBQ | Buzkashi | Row 31
✅ Saved → SBQ | Buzkashi | Row 32
✅ Saved → SBQ | Buzkashi | Row 33
✅ Saved → SBQ | Buzkashi | Row 34
✅ Saved → SBQ | Buzkashi | Row 35
✅ Saved → SBQ | Buzkashi | Row 36
✅ Saved → SBQ | Buzkashi | Row 37
✅ Saved → SBQ | Buzkashi | Row 38
✅ Saved → SBQ | Buzkashi | Row 39
✅ Saved → SBQ | Buzkashi | Row 40
✅ Saved → SBQ | Buzkashi | Row 41
✅ Saved → SBQ | Buzkashi | Row 42
✅ Saved → SBQ | Buzkashi | Row 43
✅ Saved → SBQ | Buzkashi | Row 44
✅ Saved → SBQ | Buzkashi | Row 45
✅ Saved → SBQ | Buzkashi | Row 46
✅ Saved → SBQ | Buzkashi | Row 47
✅ Saved → SBQ | Buzkashi | Row 48
✅ Saved → SBQ | Buzkashi | Row 49
✅ Saved → SBQ | Buzkashi | Row 50
✅ Saved → SBQ | Buzkashi | Row 51
✅ Saved → SBQ | Buzkashi | Row 52
✅ Saved → SBQ | Buzkashi | Row 53
✅ Saved → SBQ | Buzkashi | Row 54
✅ Saved → SBQ | Buzkashi | Row 55
✅ Saved → SBQ | Buzkashi | Row 56
✅ Saved → SBQ | Buzkashi | Row 57
✅ Saved → SBQ | Buzkashi | Row 58
✅ Saved → SBQ | Buzkashi | Row 59
✅ Saved → SBQ | Buzkashi | Row 60
✅ Saved → SBQ | Buzkashi | Row 61
✅ Saved → SBQ | Buzkashi | Row 62
✅ Saved → SBQ | Buzkashi | Row 63
✅ Saved → SBQ | Buzkashi | Row 64
✅ Saved → SBQ | Buzkashi | Row 65
✅ Saved → SBQ | Buzkashi | Row 66
✅ Saved → SBQ | Buzkashi | Row 67
✅ Saved → SBQ | Buzkashi | Row 69
✅ Saved → SBQ | Buzkashi | Row 70
✅ Saved → SBQ | Buzkashi | Row 71
✅ Saved → SBQ | Buzkashi | Row 72
✅ Saved → SBQ | Buzkashi | Row 73
✅ Saved → SBQ | Buzkashi | Row 74
✅ Saved → SBQ | Buzkashi | Row 75
✅ Saved → SBQ | Buzkashi | Row 76
✅ Saved → SBQ | Buzkashi | Row 77
✅ Saved → SBQ | Buzkashi | Row 78
✅ Saved → SBQ | Buzkashi | Row 79
✅ Saved → SBQ | Buzkashi | Row 80
✅ Saved → SBQ | Buzkashi | Row 82
✅ Saved → SBQ | Buzkashi | Row 83
✅ Saved → SBQ | Buzkashi | Row 84
✅ Saved → SBQ | Buzkashi | Row 85
✅ Saved → SBQ | Buzkashi | Row 86
✅ Saved → SBQ | Buzkashi | Row 87
✅ Saved → SBQ | Buzkashi | Row 88
✅ Saved → SBQ | Buzkashi | Row 89
✅ Saved → SBQ | Buzkashi | Row 90
✅ Saved → SBQ | Buzkashi | Row 91
✅ Saved → SBQ | Buzkashi | Row 92
✅ Saved → SBQ | Buzkashi | Row 93
✅ Saved → SBQ | Buzkashi | Row 94
✅ Saved → SBQ | Buzkashi | Row 95
✅ Saved → SBQ | Buzkashi | Row 96
✅ Saved → SBQ | Buzkashi | Row 97
✅ Saved → SBQ | Buzkashi | Row 98
✅ Saved → SBQ | Buzkashi | Row 99
✅ Saved → SBQ | Buzkashi | Row 100
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The term 'آگ کی کمی' (lack of fire) is factually incorrect and logically inconsistent in the context of horse types. 'ٹھنڈے خون والے' (cold-blooded) horses are not described by 'fire'—this term is metaphorical and misapplied. In equine terminology, 'cold-blooded' refers to calm, steady temperaments suited for draft work, while 'hot-blooded' refers to energetic, spirited breeds like Arabians. 'Fire' is not a standard or accurate descriptor for performance traits in this context.",
  "improved_question": "ٹھنڈے خون والے" گھوڑے کی بنیادی خصوصیت کیا ہے، اور یہ ریس کے لیے کیوں نا مناسب ہے؟",
  "improved_options": [
    "ا) وہ جارحانہ ہیں؛ وہ بہت خطرناک ہیں",
    "ب) وہ پرسکون اور سست ہیں؛ ان میں ضروری رفتار اور توانائی کی کمی ہے",
    "C) وہ چھوٹے ہیں؛ وہ کافی مضبوط نہیں ہی��",
    "D) وہ نایاب ہیں؛ وہ بہت مہنگے ہیں"
  ],
  "correct_answer": "ب) وہ پرسکون اور سست ہیں؛ ان میں ضروری رفتار اور توانائی کی کمی ہے"
}
✅ Saved → SBQ | Buzkashi | Row 101
✅ Saved → SBQ | Buzkashi | Row 102
✅ Saved → SBQ | Buzkashi | Row 103
✅ Saved → SBQ | Buzkashi | Row 104
✅ Saved → SBQ | Buzkashi | Row 105
✅ Saved → SBQ | Buzkashi | Row 106
✅ Saved → SBQ | Buzkashi | Row 107
✅ Saved → SBQ | Buzkashi | Row 108
✅ Saved → SBQ | Buzkashi | Row 111
✅ Saved → SBQ | Buzkashi | Row 112
✅ Saved → SBQ | Buzkashi | Row 113
✅ Saved → SBQ | Buzkashi | Row 114
✅ Saved → SBQ | Buzkashi | Row 115
✅ Saved → SBQ | Buzkashi | Row 116
✅ Saved → SBQ | Buzkashi | Row 117
✅ Saved → SBQ | Buzkashi | Row 118
✅ Saved → SBQ | Buzkashi | Row 119
✅ Saved → SBQ | Buzkashi | Row 120
✅ Saved → SBQ | Buzkashi | Row 121
✅ Saved → SBQ | Buzkashi | Row 122
✅ Saved → SBQ | Buzkashi | Row 123
✅ Saved → SBQ | Buzkashi | Row 124
✅ Saved → SBQ | Buzkashi | Row 125
✅ Saved → SBQ | Buzkashi | Row 126
✅ Saved → SBQ | Buzkashi | Row 127
✅ Saved → SBQ | Buzkashi | Row 128
✅ Saved → SBQ | Buzkashi | Row 129
✅ Saved → SBQ | Buzkashi | Row 130
✅ Saved → SBQ | Buzkashi | Row 131
✅ Saved → SBQ | Buzkashi | Row 132
✅ Saved → SBQ | Buzkashi | Row 133
✅ Saved → SBQ | Buzkashi | Row 134
✅ Saved → SBQ | Buzkashi | Row 135
✅ Saved → SBQ | Buzkashi | Row 136
✅ Saved → SBQ | Buzkashi | Row 137
✅ Saved → SBQ | Buzkashi | Row 138
✅ Saved → SBQ | Buzkashi | Row 139
✅ Saved → SBQ | Buzkashi | Row 140
✅ Saved → SBQ | Gatka | Row 0
✅ Saved → SBQ | Gatka | Row 1
✅ Saved → SBQ | Gatka | Row 2
✅ Saved → SBQ | Gatka | Row 3
✅ Saved → SBQ | Gatka | Row 4
✅ Saved → SBQ | Gatka | Row 5
✅ Saved → SBQ | Gatka | Row 6
✅ Saved → SBQ | Gatka | Row 7
✅ Saved → SBQ | Gatka | Row 8
✅ Saved → SBQ | Gatka | Row 9
✅ Saved → SBQ | Gatka | Row 10
✅ Saved → SBQ | Gatka | Row 11
✅ Saved → SBQ | Gatka | Row 12
✅ Saved → SBQ | Gatka | Row 13
✅ Saved → SBQ | Gatka | Row 14
✅ Saved → SBQ | Gatka | Row 15
✅ Saved → SBQ | Gatka | Row 16
✅ Saved → SBQ | Gatka | Row 17
✅ Saved → SBQ | Gatka | Row 18
✅ Saved → SBQ | Gatka | Row 19
✅ Saved → SBQ | Gatka | Row 20
✅ Saved → SBQ | Gatka | Row 21
✅ Saved → SBQ | Gatka | Row 22
✅ Saved → SBQ | Gatka | Row 23
✅ Saved → SBQ | Gatka | Row 24
✅ Saved → SBQ | Gatka | Row 25
✅ Saved → SBQ | Gatka | Row 26
✅ Saved → SBQ | Gatka | Row 27
✅ Saved → SBQ | Gatka | Row 28
✅ Saved → SBQ | Gatka | Row 29
✅ Saved → SBQ | Gatka | Row 30
✅ Saved → SBQ | Gatka | Row 31
✅ Saved → SBQ | Gatka | Row 32
✅ Saved → SBQ | Gatka | Row 33
✅ Saved → SBQ | Gatka | Row 34
✅ Saved → SBQ | Gatka | Row 35
✅ Saved → SBQ | Gatka | Row 36
✅ Saved → SBQ | Gatka | Row 37
✅ Saved → SBQ | Gatka | Row 38
✅ Saved → SBQ | Gatka | Row 39
✅ Saved → SBQ | Gatka | Row 40
✅ Saved → SBQ | Gatka | Row 41
✅ Saved → SBQ | Gatka | Row 42
✅ Saved → SBQ | Gatka | Row 43
✅ Saved → SBQ | Gatka | Row 44
✅ Saved → SBQ | Gatka | Row 45
✅ Saved → SBQ | Gatka | Row 46
✅ Saved → SBQ | Gatka | Row 47
✅ Saved → SBQ | Gatka | Row 48
✅ Saved → SBQ | Gatka | Row 49
✅ Saved → SBQ | Gatka | Row 50
✅ Saved → SBQ | Gatka | Row 51
✅ Saved → SBQ | Gatka | Row 52
✅ Saved → SBQ | Gatka | Row 53
✅ Saved → SBQ | Gatka | Row 54
✅ Saved → SBQ | Gatka | Row 55
✅ Saved → SBQ | Gatka | Row 56
✅ Saved → SBQ | Gatka | Row 57
✅ Saved → SBQ | Gatka | Row 58
✅ Saved → SBQ | Gatka | Row 59
✅ Saved → SBQ | Gatka | Row 60
✅ Saved → SBQ | Gatka | Row 61
✅ Saved → SBQ | Gatka | Row 62
✅ Saved → SBQ | Gatka | Row 63
✅ Saved → SBQ | Gatka | Row 64
✅ Saved → SBQ | Gatka | Row 65
✅ Saved → SBQ | Gatka | Row 66
✅ Saved → SBQ | Gatka | Row 67
✅ Saved → SBQ | Gatka | Row 68
✅ Saved → SBQ | Gatka | Row 69
✅ Saved → SBQ | Gatka | Row 70
✅ Saved → SBQ | Gatka | Row 72
✅ Saved → SBQ | Gatka | Row 73
✅ Saved → SBQ | Gatka | Row 74
✅ Saved → SBQ | Gatka | Row 77
✅ Saved → SBQ | Gatka | Row 78
✅ Saved → SBQ | Gatka | Row 79
✅ Saved → SBQ | Gatka | Row 80
✅ Saved → SBQ | Gatka | Row 81
✅ Saved → SBQ | Gatka | Row 82
✅ Saved → SBQ | Gatka | Row 83
✅ Saved → SBQ | Gatka | Row 84
✅ Saved → SBQ | Gatka | Row 85
✅ Saved → SBQ | Gatka | Row 86
✅ Saved → SBQ | Gatka | Row 92
✅ Saved → SBQ | Gatka | Row 97
✅ Saved → SBQ | Gatka | Row 98
✅ Saved → SBQ | Gatka | Row 100
✅ Saved → SBQ | Gatka | Row 101
✅ Saved → SBQ | Gatka | Row 102
✅ Saved → SBQ | Gatka | Row 103
✅ Saved → SBQ | Gatka | Row 104
✅ Saved → SBQ | Gatka | Row 105
✅ Saved → SBQ | Gatka | Row 106
✅ Saved → SBQ | Gatka | Row 107
✅ Saved → SBQ | Gatka | Row 108
✅ Saved → SBQ | Gatka | Row 109
✅ Saved → SBQ | Gatka | Row 110
✅ Saved → SBQ | Gatka | Row 111
✅ Saved → SBQ | Gatka | Row 112
✅ Saved → SBQ | Gatka | Row 113
✅ Saved → SBQ | Gatka | Row 114
✅ Saved → SBQ | Gatka | Row 115
✅ Saved → SBQ | Gatka | Row 116
✅ Saved → SBQ | Gatka | Row 117
✅ Saved → SBQ | Gatka | Row 118
✅ Saved → SBQ | Gatka | Row 119
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The question is in Urdu but contains mixed English terms ('footwork pattern', 'angle', 'dip') without proper Urdu translation or context. The term 'گٹکا' is incorrect for 'basketball' — it should be 'بالکٹ' or 'بیسکٹ بال'. Also, 'فارورڈ چارج' and 'ساکت کھڑا ہونا' are not standard defensive footwork terms in basketball. The correct answer option (B) uses 'ایک طرف قدم یا "اینگولیشن" (ڈیپچ)" which is partially correct but poorly phrased. 'ڈیپچ' is not a standard term; 'dip' should be translated as 'ڈپ' or 'گھٹنا ٹیکنا'. The question lacks clarity and correct terminology.",
  "improved_question": "بیسکٹ بال میں سے کون سا فٹ ورک پیٹرن ایک اہم دفاعی حرکت ہے؟",
  "improved_options": [
    "A) فارورڈ چارج",
    "B) ایک طرف قدم یا 'اینگولیشن' (ڈپ)",
    "C) ساکت کھڑا ہونا",
    "D) ایک کم کراؤچ"
  ],
  "correct_answer": "B) ایک طرف قدم یا 'اینگولیشن' (ڈپ)"
}
✅ Saved → SBQ | Gatka | Row 120
✅ Saved → SBQ | Gatka | Row 121
✅ Saved → SBQ | Gatka | Row 122
✅ Saved → SBQ | Gatka | Row 123
✅ Saved → SBQ | Gatka | Row 124
✅ Saved → SBQ | Gatka | Row 125
✅ Saved → SBQ | Gatka | Row 126
✅ Saved → SBQ | Gatka | Row 128
✅ Saved → SBQ | Gatka | Row 129
✅ Saved → SBQ | Gatka | Row 130
✅ Saved → SBQ | Gatka | Row 131
✅ Saved → SBQ | Gatka | Row 132
✅ Saved → SBQ | Gatka | Row 134
✅ Saved → SBQ | Gatka | Row 135
✅ Saved → SBQ | Gatka | Row 137
✅ Saved → SBQ | Gatka | Row 138
✅ Saved → SBQ | Gatka | Row 143
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The question contains a factual error: 'گٹکا' (Gutta) is not a recognized sport stick; the correct term is 'hurley' or 'camán' in Irish sports context, but the intended comparison is between 'hurling camán' (Irish shillelagh) and 'gutta' — which is likely a misspelling or misnomer for 'hockey stick' or 'gaelic hurling stick'. Moreover, 'شیللاگ' (shillelagh) is a traditional Irish wooden club, often used in stick-fighting, not the official hurling stick. The official Irish hurling stick is called 'camán', not 'shillelagh'. The question confuses shillelagh (a walking stick/club) with camán (hurling stick), making the premise factually incorrect. Option B and C are based on this false premise.",
  "improved_question": "گیلک ہرلنگ کی "کامان" اور آئرش "شیللاگ" کے درمیان بنیادی فرق کیا ہے؟",
